Autor,Texto
Dispositivo IOT,Avaliação Positiva
Dispositivo IOT,Avaliação neutra
Dispositivo IOT,Avaliação negativa
Josue,Não gostei muito
Rafael,"Muito bom 😃, comprarei mais com certeza!!!"
Priscila,"Gostei muito 😁, virei um cliente fiel 👍🏼"
Lorena,Neutro 😐
Patrícia,"Não gostei, o produto poderia entregar muito mais"
Leandro,Não atendeu as minhas espectativas 😠
Davi,"Foi uma experiência sobrenatural, muito bom 😁"
Douglas,😁 muito bom!!!
Geralda,Foi neutro 🥺
Fabiana,Foi uma experiencia incrível !!!
Gael,Achei bem fora da realidade
Noa,"achei normal, nem sim nem não"
Pedro Klavin,"Muito bom , gostei do produto"
Cortana,"Não gostei 😐, não é nem um pouco funcional"
John,"Gostei do produto 😀, foi muito útil na jornada até HALO."
Bernardo Silva,Não gostei nem um pouco !!!
Mario Antônio,Gostei do produto
Abílio Diniz,Gostei
Rafael Lima,não gostei
test8,gostei muito !!!
Rotas,gostei bastante !!!
Opera,foi uma experiencia incrível !!!
Tenet,Achei meio fora da realidade
Arepo,"achei normal, nem sim nem não"
sator,"Muito bom , gostei do produto"
fausto silva,gostei muito bixo!!!
